Key,Summary,Status,Story Points,Assignee,Type
APP-101,Add CSV export to reporting page,Done,5,Priya,Story
APP-102,Fix pagination bug on activity feed,Done,2,Priya,Bug
APP-103,Redesign onboarding welcome screen,Done,8,Marcus,Story
APP-104,Investigate slow query on dashboard load,In Progress,3,Marcus,Bug
APP-105,Add rate limiting to public API,Blocked,5,Sam,Story
APP-106,Write API docs for v2 endpoints,Done,3,Sam,Task
APP-107,Migrate auth service to new provider,In Progress,13,Devon,Story
APP-108,Add unit tests for billing module,Done,3,Priya,Task
APP-109,Support SSO for enterprise accounts,In Review,8,Devon,Story
APP-110,Fix timezone display bug in scheduler,Done,2,Marcus,Bug
