response_id,response
1,"The new export feature saved me so much time, exactly what I needed."
2,"I can never find the settings page, it's buried three menus deep."
3,"Support was fast and actually solved my issue on the first reply."
4,"Pricing went up again and I don't see what changed to justify it."
5,"Onboarding was smooth, I was productive within the first day."
6,"The mobile app crashes every time I try to upload a file."
7,"I wish there was a dark mode, but otherwise it does the job."
8,"Integration with our CRM broke after the last update and no one told us."
9,"Love how fast the dashboard loads now compared to a few months ago."
10,"Documentation is outdated and doesn't match the current UI."
